data_trend,data_count,asset,canny,asset_size,cond_scale,img_idx,input_prompt,CLIP,Lie_Factor,Match_count,Rank_Sim
falling,4,pine_tree,default,0.8,1.2,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3668,inf,0,0.0
falling,4,pine_tree,default,0.8,1.2,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3736,inf,0,0.0
falling,4,pine_tree,default,0.8,1.2,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3625,inf,0,0.0
falling,4,pine_tree,default,0.8,1.2,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3739,inf,0,0.0
falling,4,pine_tree,default,0.8,1.4,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3131,inf,0,0.0
falling,4,pine_tree,default,0.8,1.4,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3678,inf,0,0.0
falling,4,pine_tree,default,0.8,1.4,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3362,inf,0,0.0
falling,4,pine_tree,default,0.8,1.4,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3828,inf,0,0.0
falling,4,pine_tree,blur,0.4,0.6,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3583,inf,1,0.0
falling,4,pine_tree,blur,0.4,0.6,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3605,inf,0,0.0
falling,4,pine_tree,blur,0.4,0.6,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3557,inf,1,0.0
falling,4,pine_tree,blur,0.4,0.6,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3443,inf,0,0.0
falling,4,pine_tree,blur,0.4,0.8,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3671,inf,1,0.0
falling,4,pine_tree,blur,0.4,0.8,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3306,inf,0,0.0
falling,4,pine_tree,blur,0.4,0.8,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3626,inf,0,0.0
falling,4,pine_tree,blur,0.4,0.8,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3394,inf,0,0.0
falling,4,pine_tree,blur,0.4,1.0,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3851,inf,1,0.0
falling,4,pine_tree,blur,0.4,1.0,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3399,inf,0,0.0
falling,4,pine_tree,blur,0.4,1.0,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3789,inf,1,0.0
falling,4,pine_tree,blur,0.4,1.0,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3525,inf,0,0.0
falling,4,pine_tree,blur,0.4,1.2,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3831,inf,0,0.0
falling,4,pine_tree,blur,0.4,1.2,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3971,inf,0,0.0
falling,4,pine_tree,blur,0.4,1.2,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.2747,inf,0,0.0
falling,4,pine_tree,blur,0.4,1.2,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3931,inf,2,1.0
falling,4,pine_tree,blur,0.4,1.4,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3734,inf,0,0.0
falling,4,pine_tree,blur,0.4,1.4,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3552,inf,0,0.0
falling,4,pine_tree,blur,0.4,1.4,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3772,inf,1,0.0
falling,4,pine_tree,blur,0.4,1.4,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3854,inf,0,0.0
falling,4,pine_tree,blur,0.6,0.6,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3301,inf,0,0.0
falling,4,pine_tree,blur,0.6,0.6,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3388,inf,1,0.0
falling,4,pine_tree,blur,0.6,0.6,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3418,inf,1,0.0
falling,4,pine_tree,blur,0.6,0.6,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3521,inf,1,0.0
falling,4,pine_tree,blur,0.6,0.8,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3587,inf,0,0.0
falling,4,pine_tree,blur,0.6,0.8,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3728,inf,1,0.0
falling,4,pine_tree,blur,0.6,0.8,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3477,inf,0,0.0
falling,4,pine_tree,blur,0.6,0.8,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3723,inf,0,0.0
falling,4,pine_tree,blur,0.6,1.0,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.391,inf,1,0.0
falling,4,pine_tree,blur,0.6,1.0,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3659,inf,0,0.0
falling,4,pine_tree,blur,0.6,1.0,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.335,inf,0,0.0
falling,4,pine_tree,blur,0.6,1.0,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3448,inf,0,0.0
falling,4,pine_tree,blur,0.6,1.2,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3601,inf,2,-1.0
falling,4,pine_tree,blur,0.6,1.2,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3777,inf,2,-1.0
falling,4,pine_tree,blur,0.6,1.2,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3598,inf,0,0.0
falling,4,pine_tree,blur,0.6,1.2,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3789,inf,0,0.0
falling,4,pine_tree,blur,0.6,1.4,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3582,inf,2,1.0
falling,4,pine_tree,blur,0.6,1.4,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3463,inf,0,0.0
falling,4,pine_tree,blur,0.6,1.4,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3685,inf,1,0.0
falling,4,pine_tree,blur,0.6,1.4,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.363,inf,0,0.0
falling,4,pine_tree,blur,0.8,0.6,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3338,inf,0,0.0
falling,4,pine_tree,blur,0.8,0.6,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3485,inf,1,0.0
falling,4,pine_tree,blur,0.8,0.6,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3671,inf,1,0.0
falling,4,pine_tree,blur,0.8,0.6,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.34,inf,2,-1.0
falling,4,pine_tree,blur,0.8,0.8,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.331,inf,0,0.0
